elapsed_s,x_explored_m,y_explored_m
17.85,0.0000,0.0000
24.94,-0.0048,0.0101
25.55,-0.0022,0.0733
26.48,0.0113,0.1360
27.25,0.0322,0.2169
27.91,0.0159,0.0353
28.75,0.0092,-0.0402
28.94,-0.0008,-0.1380
29.14,-0.0102,-0.2301
30.15,-0.0107,-0.2331
31.15,-0.0169,-0.2795
32.25,-0.0173,-0.2928
33.28,-0.0173,-0.3023
34.75,-0.0175,-0.3070
35.85,-0.0175,-0.3071
37.15,-0.0182,-0.3156
38.24,-0.0183,-0.3162
39.54,-0.0188,-0.3215
40.55,-0.0192,-0.3253
42.15,-0.0203,-0.3337
43.25,-0.0204,-0.3345
44.55,-0.0213,-0.3394
45.65,-0.0233,-0.3511
46.75,-0.0268,-0.3720
47.85,-0.0291,-0.3875
