elapsed_s,x_rel_m,y_rel_m
19.55,0.0000,0.0000
37.55,-0.0007,-0.0001
42.96,-0.0163,-0.0017
43.55,-0.0710,-0.0041
44.15,-0.1241,0.0027
44.79,-0.1757,0.0194
45.64,-0.2232,0.0457
45.85,-0.0874,0.0436
46.00,0.0080,0.0383
47.01,0.1502,0.0136
47.80,0.1523,0.0700
48.77,0.2687,-0.0464
48.95,0.2437,0.0103
49.76,0.3326,-0.1467
50.36,0.2980,-0.0906
50.75,0.4039,-0.3004
51.36,0.3618,-0.2527
51.76,0.4104,-0.3448
51.95,0.4610,-0.4340
53.10,0.4333,-0.4027
53.35,0.6022,-0.5757
53.75,0.5734,-0.5171
54.57,0.6163,-0.5634
55.35,0.6439,-0.6283
55.55,0.7305,-0.8187
56.65,0.7435,-0.8663
57.35,0.7282,-0.7710
58.48,0.7246,-0.7581
59.17,0.6587,-0.6640
59.35,0.6170,-0.5992
60.35,0.6044,-0.5786
61.75,0.5870,-0.5756
62.35,0.5337,-0.5676
63.05,0.4795,-0.5620
63.55,0.4260,-0.5584
64.15,0.4754,-0.5705
64.35,0.5994,-0.6059
64.55,0.6506,-0.6231
65.57,0.6529,-0.6235
66.65,0.6400,-0.6205
67.16,0.5877,-0.6082
67.78,0.5348,-0.5966
68.85,0.5296,-0.5954
69.35,0.8444,-0.6781
70.45,0.8447,-0.6782
73.35,0.8271,-0.6757
73.95,0.7738,-0.6721
74.55,0.7199,-0.6756
75.15,0.6668,-0.6871
76.16,0.7240,-0.6885
76.35,0.7764,-0.6814
77.15,0.8719,-0.6567
77.35,1.0169,-0.6191
78.45,0.9998,-0.6354
78.97,0.9549,-0.6658
79.56,0.9145,-0.7012
80.16,0.8787,-0.7415
80.55,1.0974,-0.6406
81.55,1.1314,-0.6116
81.75,1.2278,-0.5154
81.96,1.2705,-0.4728
83.05,1.2706,-0.4727
83.98,1.2497,-0.5195
84.55,1.2366,-0.5700
85.25,1.2322,-0.6238
85.45,1.2889,-0.5503
85.61,1.3584,-0.4570
87.15,1.4342,-0.2543
87.60,1.4233,0.0045
88.72,1.4235,0.0040
89.95,1.4305,-0.0071
90.55,1.4615,-0.0517
92.17,1.5500,-0.1445
93.56,1.5182,-0.0649
93.88,1.3244,0.2107
95.45,1.3289,0.2051
97.15,1.3288,0.2051
104.55,1.3311,0.2060
105.60,1.3375,0.2082
111.98,1.3475,0.2112
112.57,1.4004,0.2280
113.65,1.3860,0.2201
114.35,0.9747,0.3766
115.56,0.9813,0.3823
116.17,1.0214,0.4176
117.28,1.0205,0.4168
118.37,1.0273,0.4229
119.45,1.0307,0.4259
123.35,1.0345,0.4298
124.45,1.0530,0.4495
125.50,1.0432,0.4396
128.55,1.0556,0.4520
129.55,1.0608,0.4569
130.61,1.0318,0.4165
