elapsed_s,frontier_x_m,frontier_y_m
5.74,-0.0009,-0.8506
5.74,0.3491,-0.8506
7.24,-0.0009,-0.8506
7.24,0.3491,-0.8506
9.08,-0.0009,-0.8506
9.08,0.3491,-0.8506
10.19,-0.0009,-0.8506
10.19,0.3491,-0.8506
11.92,-0.0009,-0.8506
11.92,0.3491,-0.8506
14.95,-0.0009,-0.8506
14.95,0.3491,-0.8506
16.04,-0.0009,-0.8506
16.04,0.3491,-0.8506
17.93,-0.0009,-0.8506
17.93,0.3491,-0.8506
19.78,-0.0009,-0.8506
19.78,0.3491,-0.8506
21.95,-0.0009,-0.8506
21.95,0.3491,-0.8506
24.04,-0.0009,-0.8506
24.04,0.3491,-0.8506
25.90,-0.0009,-0.8506
25.90,0.3491,-0.8506
27.52,-0.0071,-0.8672
27.52,-0.1071,-0.8172
27.52,0.2929,-1.0172
27.52,0.3929,-0.6672
29.06,-0.1071,-0.9199
29.06,-0.0071,-0.9199
29.06,-2.2071,-0.9699
30.58,-0.1124,-0.9199
30.58,-0.0124,-0.9199
