elapsed_s,area_m2,percent_known,known_cells,total_cells
2.94,3.613,63.88,1445,2262
4.10,3.613,63.88,1445,2262
5.21,3.613,63.88,1445,2262
5.70,3.613,63.88,1445,2262
6.46,3.613,63.88,1445,2262
7.58,3.613,63.88,1445,2262
8.71,3.613,63.88,1445,2262
9.52,3.613,63.88,1445,2262
10.60,3.613,63.88,1445,2262
11.64,3.613,63.88,1445,2262
12.53,3.613,63.88,1445,2262
13.48,3.613,63.88,1445,2262
14.45,3.613,63.88,1445,2262
15.46,3.613,63.88,1445,2262
16.55,3.613,63.88,1445,2262
17.51,3.613,63.88,1445,2262
18.47,3.613,63.88,1445,2262
19.45,3.613,63.88,1445,2262
20.44,3.613,63.88,1445,2262
21.24,3.613,63.88,1445,2262
22.26,3.613,63.88,1445,2262
23.27,3.613,63.88,1445,2262
24.25,3.613,63.88,1445,2262
25.37,3.613,63.88,1445,2262
26.26,3.613,63.88,1445,2262
27.27,3.613,63.88,1445,2262
28.27,3.613,63.88,1445,2262
29.30,3.613,63.88,1445,2262
30.27,3.613,63.88,1445,2262
31.26,4.425,78.25,1770,2262
32.66,4.763,84.22,1905,2262
33.60,4.825,85.32,1930,2262
34.29,4.825,85.32,1930,2262
35.41,4.928,85.66,1971,2301
36.38,4.983,86.61,1993,2301
37.34,5.085,88.40,2034,2301
38.35,5.200,90.40,2080,2301
39.27,5.278,91.74,2111,2301
