elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
19.56,0.0000,0.0000,0.0000,0.0000
23.94,-0.0049,-0.0002,-0.0049,-0.0002
25.03,-0.0199,-0.0018,-0.0199,-0.0018
26.16,-0.0343,-0.0064,-0.0343,-0.0064
27.24,-0.0518,-0.0160,-0.0518,-0.0160
28.33,-0.0641,-0.0246,-0.0641,-0.0246
29.34,-0.0754,-0.0345,-0.0754,-0.0345
30.42,-0.0886,-0.0495,-0.0886,-0.0495
31.46,0.3826,0.1929,0.3826,0.1929
31.84,0.4438,0.2145,0.4438,0.2145
32.42,0.4042,0.1550,0.4042,0.1550
33.29,0.5555,0.3197,0.5555,0.3197
33.62,0.6306,0.3987,0.6306,0.3987
34.12,0.6002,0.3307,0.6002,0.3307
34.83,0.7189,0.4916,0.7189,0.4916
35.94,0.7449,0.5412,0.7449,0.5412
36.12,0.8315,0.7151,0.8315,0.7151
36.82,0.8749,0.8671,0.8749,0.8671
37.12,0.9048,0.9743,0.9048,0.9743
38.12,0.9051,1.0523,0.9051,1.0523
38.82,0.9004,1.1256,0.9004,1.1256
39.42,0.8902,1.2011,0.8902,1.2011
39.83,0.8987,1.1304,0.8987,1.1304
40.13,0.8976,1.1848,0.8976,1.1848
40.42,0.8944,1.2443,0.8944,1.2443
40.82,0.9062,1.1783,0.9062,1.1783
41.16,0.9052,1.2473,0.9052,1.2473
