elapsed_s,x_rel_m,y_rel_m
20.51,0.0000,0.0000
36.62,0.0204,0.0075
37.34,0.0649,0.0484
38.11,0.1007,0.0957
38.62,0.1303,0.1479
39.52,0.0495,0.1073
40.76,0.0299,0.0903
41.20,-0.1707,-0.1671
42.20,-0.1624,-0.1528
43.21,-0.1696,-0.1654
44.21,-0.1484,-0.1328
44.62,-0.1153,-0.0696
45.30,-0.0870,0.0029
46.32,-0.1104,-0.0453
46.63,-0.1660,-0.1475
47.43,-0.1504,-0.0847
48.00,-0.1287,-0.0197
49.01,-0.1086,0.0311
50.09,-0.1063,0.0170
50.91,-0.1051,0.0762
51.18,-0.1120,0.1514
51.30,-0.1532,0.0355
51.80,-0.2337,-0.2159
