elapsed_s,area_m2,percent_known,known_cells,total_cells
3.73,4.923,85.24,1969,2310
5.03,4.923,85.24,1969,2310
6.01,4.923,85.24,1969,2310
7.31,4.923,85.24,1969,2310
8.71,4.923,85.24,1969,2310
9.65,4.923,85.24,1969,2310
10.38,4.923,85.24,1969,2310
11.23,4.923,85.24,1969,2310
12.28,4.923,85.24,1969,2310
13.26,4.923,85.24,1969,2310
14.24,4.923,85.24,1969,2310
15.47,4.923,85.24,1969,2310
16.22,4.923,85.24,1969,2310
17.24,4.923,85.24,1969,2310
18.22,4.923,85.24,1969,2310
19.26,4.923,85.24,1969,2310
20.23,4.923,85.24,1969,2310
21.24,4.923,85.24,1969,2310
22.50,5.605,95.32,2242,2352
23.22,5.605,95.32,2242,2352
24.22,5.615,95.49,2246,2352
