elapsed_s,frontier_x_m,frontier_y_m
5.52,-1.7255,-0.4269
5.52,-1.3755,-0.8769
5.52,-1.6755,0.5731
5.52,-0.6255,0.7231
5.52,-0.8755,0.9731
7.77,-1.7255,-0.4269
7.77,-1.3755,-0.8769
7.77,-1.6755,0.5731
7.77,-0.6255,0.7231
7.77,-0.8755,0.9731
9.81,-1.7255,-0.4269
9.81,-1.3755,-0.8769
9.81,-1.6755,0.5731
9.81,-0.6255,0.7231
9.81,-0.8755,0.9731
10.88,-1.7255,-0.4269
10.88,-1.3755,-0.8769
10.88,-1.6755,0.5731
10.88,-0.6255,0.7231
10.88,-0.8755,0.9731
12.26,-1.7255,-0.4269
12.26,-1.3755,-0.8769
12.26,-1.6755,0.5731
12.26,-0.6255,0.7231
12.26,-0.8755,0.9731
15.03,-1.7255,-0.4269
15.03,-1.3755,-0.8769
15.03,-1.6755,0.5731
15.03,-0.6255,0.7231
15.03,-0.8755,0.9731
16.84,-1.7255,-0.4269
16.84,-1.3755,-0.8769
16.84,-1.6755,0.5731
16.84,-0.6255,0.7231
16.84,-0.8755,0.9731
19.63,-1.7255,-0.4269
19.63,-1.3755,-0.8769
19.63,-1.6755,0.5731
19.63,-0.6255,0.7231
19.63,-0.8755,0.9731
20.83,-1.7255,-0.4269
20.83,-1.3755,-0.8769
20.83,-1.6755,0.5731
20.83,-0.6255,0.7231
20.83,-0.8755,0.9731
