elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
22.25,0.0000,0.0000,0.0072,-0.0312,0.0000,0.0000,0.0072,-0.0312
28.45,0.0002,-0.0188,0.0187,-0.0548,0.0002,-0.0188,0.0187,-0.0548
29.16,0.0214,-0.0750,0.0334,-0.0780,0.0214,-0.0750,0.0334,-0.0780
29.85,0.0532,-0.1253,0.0542,-0.0690,0.0532,-0.1253,0.0542,-0.0690
30.56,0.0924,-0.1708,0.0831,-0.0626,0.0924,-0.1708,0.0831,-0.0626
31.00,0.1040,0.0451,0.0923,-0.0292,0.1040,0.0451,0.0923,-0.0292
31.80,0.1447,0.0130,0.0737,0.0375,0.1447,0.0130,0.0737,0.0375
32.35,0.0674,0.0923,0.0583,0.1045,0.0674,0.0923,0.0583,0.1045
32.60,-0.0400,0.2082,0.0380,0.1305,-0.0400,0.2082,0.0380,0.1305
33.45,0.0154,0.1640,0.0062,0.1659,0.0154,0.1640,0.0062,0.1659
34.45,0.0023,0.1751,-0.0134,0.1891,0.0023,0.1751,-0.0134,0.1891
35.61,-0.0143,0.1900,-0.0156,0.1938,-0.0143,0.1900,-0.0156,0.1938
36.65,-0.0304,0.2082,-0.0271,0.2051,-0.0304,0.2082,-0.0271,0.2051
37.66,-0.0512,0.2316,-0.0293,0.1980,-0.0512,0.2316,-0.0293,0.1980
38.75,-0.0416,0.2204,-0.0162,0.1813,-0.0416,0.2204,-0.0162,0.1813
39.15,-0.0090,0.1399,0.0059,0.1577,-0.0090,0.1399,0.0059,0.1577
39.85,0.0513,0.1064,0.0328,0.1296,0.0513,0.1064,0.0328,0.1296
40.86,0.0802,0.0901,0.0663,0.1034,0.0802,0.0901,0.0663,0.1034
42.06,0.0829,0.0911,0.0594,0.1012,0.0829,0.0911,0.0594,0.1012
43.07,0.1263,0.0894,0.0395,0.1056,0.1263,0.0894,0.0395,0.1056
43.58,-0.0437,0.1288,0.0138,0.1133,-0.0437,0.1288,0.0138,0.1133
44.67,-0.0482,0.1285,-0.0162,0.1210,-0.0482,0.1285,-0.0162,0.1210
45.78,-0.0484,0.1286,-0.0548,0.1291,-0.0484,0.1286,-0.0548,0.1291
46.85,-0.0670,0.1298,-0.0594,0.1293,-0.0670,0.1298,-0.0594,0.1293
48.45,-0.0667,0.1298,-0.0647,0.1297,-0.0667,0.1298,-0.0647,0.1297
49.45,-0.0669,0.1298,-0.0739,0.1295,-0.0669,0.1298,-0.0739,0.1295
50.46,-0.0746,0.1303,-0.0840,0.1295,-0.0746,0.1303,-0.0840,0.1295
51.62,-0.0944,0.1276,-0.0890,0.1288,-0.0944,0.1276,-0.0890,0.1288
52.65,-0.1173,0.1303,-0.0794,0.1280,-0.1173,0.1303,-0.0794,0.1280
53.68,-0.0915,0.1260,-0.0672,0.1272,-0.0915,0.1260,-0.0672,0.1272
53.95,-0.0189,0.1261,-0.0544,0.1264,-0.0189,0.1261,-0.0544,0.1264
54.96,-0.0141,0.1261,-0.0238,0.1276,-0.0141,0.1261,-0.0238,0.1276
56.05,-0.0303,0.1238,0.0087,0.1310,-0.0303,0.1238,0.0087,0.1310
56.56,0.0358,0.1361,0.0411,0.1360,0.0358,0.1361,0.0411,0.1360
57.58,0.0708,0.1431,0.0609,0.1338,0.0708,0.1431,0.0609,0.1338
57.77,0.1435,0.1512,0.0775,0.1335,0.1435,0.1512,0.0775,0.1335
58.15,0.0848,0.1150,0.0292,0.1325,0.0848,0.1150,0.0292,0.1325
59.15,0.0527,0.1223,-0.0350,0.1293,0.0527,0.1223,-0.0350,0.1293
59.45,-0.2058,0.1310,-0.0796,0.1239,-0.2058,0.1310,-0.0796,0.1239
60.48,-0.2502,0.1271,-0.1344,0.1268,-0.2502,0.1271,-0.1344,0.1268
