elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
11.01,0.0000,0.0000,-0.0065,-0.0003,0.0000,0.0000,-0.0065,-0.0003
14.01,-0.0023,-0.0001,-0.0130,-0.0009,-0.0023,-0.0001,-0.0130,-0.0009
15.02,-0.0173,-0.0008,-0.0197,-0.0021,-0.0173,-0.0008,-0.0197,-0.0021
16.11,-0.0322,-0.0027,-0.0322,-0.0048,-0.0322,-0.0027,-0.0322,-0.0048
17.11,-0.0466,-0.0067,-0.0474,-0.0098,-0.0466,-0.0067,-0.0474,-0.0098
18.12,-0.0623,-0.0137,-0.0617,-0.0169,-0.0623,-0.0137,-0.0617,-0.0169
19.24,-0.0786,-0.0253,-0.0745,-0.0258,-0.0786,-0.0253,-0.0745,-0.0258
20.31,-0.0889,-0.0362,0.0376,0.0282,-0.0889,-0.0362,0.0376,0.0282
21.31,-0.0961,-0.0472,0.1533,0.0823,-0.0961,-0.0472,0.1533,0.0823
21.91,0.5139,0.2634,0.2745,0.1317,0.5139,0.2634,0.2745,0.1317
24.91,0.5160,0.2569,0.4008,0.1766,0.5160,0.2569,0.4008,0.1766
26.01,0.5274,0.2215,0.5267,0.2258,0.5274,0.2215,0.5267,0.2258
27.05,0.5429,0.1884,0.5305,0.3173,0.5429,0.1884,0.5305,0.3173
28.13,0.5335,0.1991,0.5334,0.4103,0.5335,0.1991,0.5334,0.4103
28.62,0.5326,0.7206,0.5334,0.5109,0.5326,0.7206,0.5334,0.5109
29.71,0.5306,0.7220,0.5298,0.6183,0.5306,0.7220,0.5298,0.6183
30.73,0.5273,0.7242,0.5277,0.7239,0.5273,0.7242,0.5277,0.7239
31.80,0.5250,0.7256,0.5252,0.7254,0.5250,0.7256,0.5252,0.7254
32.81,0.5228,0.7268,0.5228,0.7267,0.5228,0.7268,0.5228,0.7267
33.91,0.5203,0.7281,0.5207,0.7278,0.5203,0.7281,0.5207,0.7278
35.01,0.5186,0.7289,0.5189,0.7287,0.5186,0.7289,0.5189,0.7287
36.01,0.5171,0.7295,0.5173,0.7294,0.5171,0.7295,0.5173,0.7294
37.01,0.5159,0.7300,0.5161,0.7299,0.5159,0.7300,0.5161,0.7299
38.01,0.5149,0.7304,0.5151,0.7303,0.5149,0.7304,0.5151,0.7303
39.11,0.5141,0.7306,0.5143,0.7305,0.5141,0.7306,0.5143,0.7305
40.11,0.5136,0.7308,0.5138,0.7307,0.5136,0.7308,0.5138,0.7307
41.21,0.5132,0.7309,0.5136,0.7308,0.5132,0.7309,0.5136,0.7308
42.52,0.5133,0.7309,0.5136,0.7308,0.5133,0.7309,0.5136,0.7308
43.61,0.5137,0.7308,0.5140,0.7308,0.5137,0.7308,0.5140,0.7308
44.61,0.5144,0.7307,0.5146,0.7307,0.5144,0.7307,0.5146,0.7307
45.63,0.5153,0.7306,0.5155,0.7306,0.5153,0.7306,0.5155,0.7306
46.71,0.5164,0.7305,0.5167,0.7305,0.5164,0.7305,0.5167,0.7305
47.81,0.5178,0.7304,0.5181,0.7305,0.5178,0.7304,0.5181,0.7305
48.82,0.5195,0.7304,0.5188,0.7304,0.5195,0.7304,0.5188,0.7304
50.37,0.5215,0.7304,0.5196,0.7304,0.5215,0.7304,0.5196,0.7304
