elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
18.74,0.0000,0.0000,0.0000,0.0000
25.01,-0.0021,-0.0001,-0.0021,-0.0001
26.03,-0.0173,-0.0007,-0.0173,-0.0007
27.14,-0.0333,-0.0014,-0.0333,-0.0014
28.21,-0.0331,-0.0014,-0.0331,-0.0014
29.72,-0.0334,-0.0021,-0.0334,-0.0021
30.81,-0.0300,-0.0210,-0.0300,-0.0210
31.82,-0.0110,-0.0551,-0.0110,-0.0551
32.73,0.0426,-0.1083,0.0426,-0.1083
33.41,0.1020,-0.1486,0.1020,-0.1486
34.01,0.1685,-0.1776,0.1685,-0.1776
34.51,0.7123,-0.2165,0.7123,-0.2165
35.11,0.7814,-0.2099,0.7814,-0.2099
35.74,0.5219,-0.1173,0.5219,-0.1173
36.43,0.5825,-0.0903,0.5825,-0.0903
36.96,0.3815,-0.0802,0.3815,-0.0802
37.41,0.4381,-0.0350,0.4381,-0.0350
38.21,0.1870,-0.1296,0.1870,-0.1296
39.32,0.1880,-0.1284,0.1880,-0.1284
39.52,-0.0422,-0.2984,-0.0422,-0.2984
40.61,-0.0424,-0.2977,-0.0424,-0.2977
41.69,-0.0420,-0.2976,-0.0420,-0.2976
42.71,-0.0420,-0.2978,-0.0420,-0.2978
43.72,-0.0421,-0.2979,-0.0421,-0.2979
47.50,-0.0458,-0.2955,-0.0458,-0.2955
48.51,-0.0439,-0.2888,-0.0439,-0.2888
49.61,-0.0437,-0.2915,-0.0437,-0.2915
51.41,-0.0437,-0.2916,-0.0437,-0.2916
52.51,-0.0402,-0.2863,-0.0402,-0.2863
53.51,-0.0357,-0.2894,-0.0357,-0.2894
54.51,-0.0354,-0.2939,-0.0354,-0.2939
