elapsed_s,area_m2,percent_known,known_cells,total_cells
0.68,3.485,75.43,1394,1848
2.06,3.485,75.43,1394,1848
3.50,3.485,75.43,1394,1848
5.27,3.485,75.43,1394,1848
20.52,3.485,75.43,1394,1848
20.69,3.485,75.43,1394,1848
22.18,3.485,75.43,1394,1848
23.68,3.778,78.21,1511,1932
25.18,3.833,77.50,1533,1978
26.68,3.868,78.21,1547,1978
28.18,3.875,78.36,1550,1978
29.68,3.875,78.36,1550,1978
31.18,3.875,78.36,1550,1978
32.68,3.875,78.36,1550,1978
34.19,3.875,78.36,1550,1978
35.68,3.875,78.36,1550,1978
37.19,3.875,78.36,1550,1978
38.68,3.875,78.36,1550,1978
40.19,3.875,78.36,1550,1978
41.68,3.875,78.36,1550,1978
43.18,3.875,78.36,1550,1978
44.68,3.875,78.36,1550,1978
46.19,3.875,78.36,1550,1978
47.68,3.875,78.36,1550,1978
49.19,3.875,78.36,1550,1978
50.68,3.875,78.36,1550,1978
52.18,3.875,78.36,1550,1978
53.68,3.875,78.36,1550,1978
55.18,3.875,78.36,1550,1978
56.68,3.875,78.36,1550,1978
58.17,3.875,78.36,1550,1978
59.68,3.875,78.36,1550,1978
