elapsed_s,area_m2,percent_known,known_cells,total_cells
3.13,3.158,64.77,1263,1950
5.26,3.158,64.77,1263,1950
7.08,3.158,64.77,1263,1950
8.73,3.158,64.77,1263,1950
20.99,3.158,64.77,1263,1950
24.70,3.158,64.77,1263,1950
27.79,3.158,64.77,1263,1950
31.12,3.625,74.36,1450,1950
34.49,3.818,78.31,1527,1950
37.71,4.185,83.70,1674,2000
40.82,4.200,84.00,1680,2000
44.02,4.200,84.00,1680,2000
47.11,4.200,84.00,1680,2000
50.19,4.205,84.10,1682,2000
53.31,4.205,84.10,1682,2000
56.42,4.205,84.10,1682,2000
59.52,4.205,84.10,1682,2000
62.68,4.205,84.10,1682,2000
65.80,4.205,84.10,1682,2000
68.87,4.205,84.10,1682,2000
71.96,4.205,84.10,1682,2000
75.06,4.205,84.10,1682,2000
78.17,4.205,84.10,1682,2000
81.27,4.205,84.10,1682,2000
85.96,4.205,84.10,1682,2000
89.12,4.205,84.10,1682,2000
92.27,4.305,86.10,1722,2000
95.47,4.310,86.20,1724,2000
98.61,4.343,85.15,1737,2040
101.69,4.343,85.15,1737,2040
104.82,4.343,85.15,1737,2040
107.92,4.343,85.15,1737,2040
111.11,4.343,85.15,1737,2040
114.17,4.343,85.15,1737,2040
117.28,4.343,85.15,1737,2040
120.42,4.343,85.15,1737,2040
123.49,4.343,85.15,1737,2040
125.09,4.343,85.15,1737,2040
126.33,4.343,85.15,1737,2040
128.33,4.343,85.15,1737,2040
130.35,4.343,85.15,1737,2040
132.33,4.348,85.25,1739,2040
134.34,4.348,85.25,1739,2040
136.33,4.355,85.39,1742,2040
