elapsed_s,frontier_x_m,frontier_y_m
3.72,1.1884,-1.5158
3.72,0.4884,-0.6658
3.72,0.8384,-1.1658
3.72,-1.2116,-0.7658
3.72,0.1884,-0.8158
3.72,0.6384,-0.6658
3.72,-1.5116,-0.3658
3.72,-1.2116,-0.2658
3.72,1.2884,0.6842
3.72,-1.6116,0.4342
3.72,-1.0616,0.8842
3.72,-0.1616,0.9842
3.72,0.0884,0.9842
3.72,2.0384,0.7342
3.72,1.8884,1.1342
3.72,-1.6116,1.1842
6.59,1.1884,-1.5158
6.59,0.4884,-0.6658
6.59,0.8384,-1.1658
6.59,-1.2116,-0.7658
6.59,0.1884,-0.8158
6.59,0.6384,-0.6658
6.59,-1.5116,-0.3658
6.59,-1.2116,-0.2658
6.59,1.2884,0.6842
6.59,-1.6116,0.4342
6.59,-1.0616,0.8842
6.59,-0.1616,0.9842
6.59,0.0884,0.9842
6.59,2.0384,0.7342
6.59,1.8884,1.1342
6.59,-1.6116,1.1842
8.89,1.1884,-1.5158
8.89,0.4884,-0.6658
8.89,0.8384,-1.1658
8.89,-1.2116,-0.7658
8.89,0.1884,-0.8158
8.89,0.6384,-0.6658
8.89,-1.5116,-0.3658
8.89,-1.2116,-0.2658
8.89,1.2884,0.6842
8.89,-1.6116,0.4342
8.89,-1.0616,0.8842
8.89,-0.1616,0.9842
8.89,0.0884,0.9842
8.89,2.0384,0.7342
8.89,1.8884,1.1342
8.89,-1.6116,1.1842
11.73,1.1884,-1.5158
11.73,0.4884,-0.6658
11.73,0.8384,-1.1658
11.73,-1.2116,-0.7658
11.73,0.1884,-0.8158
11.73,0.6384,-0.6658
11.73,-1.5116,-0.3658
11.73,-1.2116,-0.2658
11.73,1.2884,0.6842
11.73,-1.6116,0.4342
11.73,-1.0616,0.8842
11.73,-0.1616,0.9842
11.73,0.0884,0.9842
11.73,2.0384,0.7342
11.73,1.8884,1.1342
11.73,-1.6116,1.1842
21.31,1.1884,-1.5158
21.31,0.4884,-0.6658
21.31,0.8384,-1.1658
21.31,-1.2116,-0.7658
21.31,0.1884,-0.8158
21.31,0.6384,-0.6658
21.31,-1.5116,-0.3658
21.31,-1.2116,-0.2658
21.31,1.2884,0.6842
21.31,-1.6116,0.4342
21.31,-1.0616,0.8842
21.31,-0.1616,0.9842
