elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
23.44,1.9622,0.4131,2.3047,0.4852
57.90,1.4724,-0.7089,1.7255,-0.9507
153.86,1.4755,-0.1507,1.4755,-0.1507
165.25,-0.2159,1.0222,0.1255,1.0993
198.88,0.1255,1.0993,0.1255,1.0993
208.83,0.1255,1.0993,0.1255,1.0993
220.83,0.1255,1.0993,0.1255,1.0993
231.76,0.1255,1.0993,0.1255,1.0993
248.77,0.1255,1.0993,0.1255,1.0993
260.05,0.1255,1.0993,0.1255,1.0993
272.44,0.1255,1.0993,0.1255,1.0993
288.97,0.1255,1.0993,0.1255,1.0993
300.95,0.1255,1.0993,0.1255,1.0993
313.36,0.1255,1.0993,0.1255,1.0993
330.34,0.1255,1.0993,0.1255,1.0993
338.45,0.1255,1.0993,0.1255,1.0993
354.81,0.1255,1.0876,0.1255,1.0876
362.79,0.1255,1.0876,0.1255,1.0876
