elapsed_s,x_m,y_m
4.50,0.0000,0.0000
55.05,0.3660,-0.0582
58.52,-0.0459,0.0657
79.85,-0.4986,-0.1387
99.16,0.5725,-0.1088
181.42,0.5872,0.1084
270.63,0.6768,0.3297
282.84,0.5770,0.1311
297.85,0.6914,0.3503
439.23,0.8162,0.5340
500.15,0.8710,0.3070
517.28,0.8199,0.5200
521.54,0.9462,0.3377
524.93,0.7375,0.6207
531.63,0.8732,0.4093
544.64,0.7308,0.6335
556.05,0.5545,0.8197
558.23,0.7451,0.6134
575.13,0.9734,0.3572
578.63,0.7416,0.5776
583.97,0.5747,0.7303
596.49,0.7726,0.5139
608.53,0.8749,0.3337
611.73,0.7132,0.6439
614.77,0.6405,0.8697
629.13,0.7791,0.5004
631.74,0.8708,0.2984
632.83,0.7755,0.4889
688.74,0.7403,0.2769
692.24,0.7849,0.5879
696.38,0.9753,0.3031
701.08,0.0533,-0.1449
702.70,-0.1496,-0.0249
705.81,-0.0904,-0.3212
897.65,-0.0298,-0.7015
1043.75,0.4201,0.1200
1044.03,0.6448,0.1714
1097.84,0.8516,0.2214
1108.03,1.0739,0.0904
1120.41,0.9019,0.2078
