elapsed_s,frontier_x_m,frontier_y_m
6.84,-1.0043,-0.8750
6.84,-1.8543,-0.3750
6.84,-1.0043,-0.7250
6.84,-2.3043,-0.7750
6.84,-1.2543,-0.5250
6.84,0.2957,-0.3750
6.84,-1.9043,0.3750
6.84,-2.2043,0.5750
6.84,-2.4043,0.6250
6.84,-0.4543,0.6750
6.84,-0.2043,0.7750
6.84,-1.8043,0.7750
6.84,-1.1043,0.7750
6.84,0.2457,0.7750
6.84,-2.1043,0.7750
6.84,-0.6543,0.8250
6.84,-2.0043,0.8250
6.84,-2.2543,0.8750
6.84,-2.1543,0.8750
6.84,-1.6043,0.8750
6.84,-0.5043,0.8750
9.91,-1.0043,-0.8750
9.91,-1.8543,-0.3750
9.91,-1.0043,-0.7250
9.91,-2.3043,-0.7750
9.91,-1.2543,-0.5250
9.91,0.2957,-0.3750
9.91,-1.9043,0.3750
9.91,-2.2043,0.5750
9.91,-2.4043,0.6250
9.91,-0.4543,0.6750
9.91,-0.2043,0.7750
9.91,-1.8043,0.7750
9.91,-1.1043,0.7750
9.91,0.2457,0.7750
9.91,-2.1043,0.7750
9.91,-0.6543,0.8250
9.91,-2.0043,0.8250
9.91,-2.2543,0.8750
9.91,-2.1543,0.8750
9.91,-1.6043,0.8750
9.91,-0.5043,0.8750
11.71,-1.0043,-0.8750
11.71,-1.8543,-0.3750
11.71,-1.0043,-0.7250
11.71,-2.3043,-0.7750
11.71,-1.2543,-0.5250
11.71,0.2957,-0.3750
11.71,-1.9043,0.3750
11.71,-2.2043,0.5750
11.71,-2.4043,0.6250
11.71,-0.4543,0.6750
11.71,-0.2043,0.7750
11.71,-1.8043,0.7750
11.71,-1.1043,0.7750
11.71,0.2457,0.7750
11.71,-2.1043,0.7750
11.71,-0.6543,0.8250
11.71,-2.0043,0.8250
11.71,-2.2543,0.8750
11.71,-2.1543,0.8750
11.71,-1.6043,0.8750
11.71,-0.5043,0.8750
