elapsed_s,area_m2,percent_known,known_cells,total_cells
2.56,3.765,66.58,1506,2262
3.59,3.765,66.58,1506,2262
5.65,3.765,66.58,1506,2262
7.12,3.765,66.58,1506,2262
9.19,3.765,66.58,1506,2262
11.13,3.765,66.58,1506,2262
13.13,3.765,66.58,1506,2262
15.16,3.765,66.58,1506,2262
17.14,5.028,88.90,2011,2262
19.13,5.028,88.90,2011,2262
21.12,5.103,90.23,2041,2262
23.12,5.103,90.23,2041,2262
25.12,5.103,90.23,2041,2262
27.15,5.328,94.21,2131,2262
29.25,5.425,95.93,2170,2262
31.12,5.425,95.93,2170,2262
33.13,5.425,95.93,2170,2262
35.43,5.488,97.04,2195,2262
37.13,5.488,97.04,2195,2262
