elapsed_s,x_m,y_m
10.97,0.0000,0.0000
27.89,0.1030,-0.1825
37.71,0.0750,-0.3911
42.70,0.1878,-0.2127
47.20,0.1246,0.0058
52.20,0.0630,-0.1880
54.53,0.2720,-0.1382
64.69,0.3563,-0.3374
66.50,0.2586,-0.5135
67.30,0.0525,-0.4982
69.58,-0.1630,-0.4717
76.10,0.0471,-0.6400
77.43,-0.1494,-0.5623
81.99,0.0573,-0.5499
82.49,0.2776,-0.4385
82.90,0.4624,-0.3537
84.00,0.2327,-0.2825
89.70,0.0629,-0.4214
91.49,-0.1277,-0.4980
97.19,0.0750,-0.4165
100.31,0.3214,-0.3636
104.51,0.5311,-0.3654
115.81,0.5973,-0.5794
