elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
11.03,0.2465,-0.1255,0.5139,-0.2615
11.63,-0.5864,0.0255,-0.8861,0.0385
12.11,1.0401,0.4658,1.3139,0.5885
15.04,0.2509,1.2952,0.3139,1.5885
15.82,-1.0132,-0.7717,-1.2516,-0.9538
16.53,-1.4075,0.2869,-1.7016,0.3462
21.38,0.0056,-0.5901,0.1484,-0.8538
21.79,-0.4016,0.6003,-0.4516,0.8962
27.68,1.0742,0.5143,1.3484,0.6358
28.78,0.2292,1.1408,0.2984,1.4327
29.65,-0.4349,-1.2142,-0.5516,-1.4906
30.39,-1.2625,-0.3104,-1.5516,-0.3906
38.54,-1.5016,0.1531,-1.8016,0.1594
39.49,-0.2067,0.6813,-0.4016,0.9094
61.18,1.1265,0.5327,1.3984,0.6594
61.90,0.2949,1.2094,0.2984,1.5094
62.76,-0.4149,-1.2235,-0.5516,-1.4906
63.88,-1.2634,-0.3073,-1.5516,-0.3906
