elapsed_s,area_m2,percent_known,known_cells,total_cells
1.55,3.828,69.46,1531,2204
2.35,3.828,69.46,1531,2204
4.23,3.828,69.46,1531,2204
6.27,3.828,69.46,1531,2204
8.19,3.828,69.46,1531,2204
9.94,3.828,69.46,1531,2204
12.08,3.828,69.46,1531,2204
14.04,4.395,78.41,1758,2242
15.91,4.395,78.41,1758,2242
17.92,4.465,79.66,1786,2242
19.94,4.570,41.62,1828,4392
21.98,4.660,41.76,1864,4464
23.91,4.693,41.47,1877,4526
25.93,4.700,41.54,1880,4526
28.02,4.703,41.56,1881,4526
29.98,4.733,39.65,1893,4774
32.15,4.733,27.74,1879,6825
33.96,4.733,27.74,1885,6825
35.93,4.733,27.74,1889,6825
37.93,4.733,27.74,1889,6825
40.10,4.733,27.74,1889,6825
41.98,4.750,27.84,1900,6825
43.93,4.768,27.94,1907,6825
45.93,4.773,27.97,1909,6825
47.96,4.773,27.97,1909,6825
49.95,4.773,27.97,1909,6825
51.98,4.773,27.97,1909,6825
54.03,4.773,27.97,1909,6825
56.36,4.773,27.97,1909,6825
58.34,4.775,27.99,1910,6825
60.51,4.775,27.99,1910,6825
62.05,4.775,27.99,1910,6825
64.12,4.778,28.00,1911,6825
67.10,4.833,28.32,1933,6825
68.85,4.845,28.40,1938,6825
70.53,4.853,28.17,1941,6890
72.30,4.870,28.27,1948,6890
74.59,4.873,28.29,1949,6890
76.41,4.873,28.29,1949,6890
