elapsed_s,frontier_x_m,frontier_y_m
3.27,-1.7685,-0.2265
3.27,-0.9185,-1.0765
3.27,-2.2685,-1.0265
3.27,-0.2685,-0.7765
3.27,-0.1685,-0.9265
3.27,0.2315,-0.8265
3.27,-2.1685,-0.9765
3.27,-2.0685,-0.9265
3.27,-0.2185,0.5235
3.27,-0.8185,0.5735
7.52,-1.7685,-0.2265
7.52,-0.9185,-1.0765
7.52,-2.2685,-1.0265
7.52,-0.2685,-0.7765
7.52,-0.1685,-0.9265
7.52,0.2315,-0.8265
7.52,-2.1685,-0.9765
7.52,-2.0685,-0.9265
7.52,-0.2185,0.5235
7.52,-0.8185,0.5735
9.09,-1.7685,-0.2265
9.09,-0.9185,-1.0765
9.09,-2.2685,-1.0265
9.09,-0.2685,-0.7765
9.09,-0.1685,-0.9265
9.09,0.2315,-0.8265
9.09,-2.1685,-0.9765
9.09,-2.0685,-0.9265
9.09,-0.2185,0.5235
9.09,-0.8185,0.5735
11.63,-1.7685,-0.2265
11.63,-0.9185,-1.0765
11.63,-2.2685,-1.0265
11.63,-0.2685,-0.7765
11.63,-0.1685,-0.9265
11.63,0.2315,-0.8265
11.63,-2.1685,-0.9765
11.63,-2.0685,-0.9265
11.63,-0.2185,0.5235
11.63,-0.8185,0.5735
12.78,-1.7685,-0.2265
12.78,-0.9185,-1.0765
12.78,-2.2685,-1.0265
12.78,-0.2685,-0.7765
12.78,-0.1685,-0.9265
12.78,0.2315,-0.8265
12.78,-2.1685,-0.9765
12.78,-2.0685,-0.9265
12.78,-0.2185,0.5235
12.78,-0.8185,0.5735
14.94,-1.7685,-0.2265
14.94,-0.9185,-1.0765
14.94,-2.2685,-1.0265
14.94,-0.2685,-0.7765
14.94,-0.1685,-0.9265
14.94,0.2315,-0.8265
14.94,-2.1685,-0.9765
14.94,-2.0685,-0.9265
14.94,-0.2185,0.5235
14.94,-0.8185,0.5735
17.03,-1.7685,-0.2265
17.03,-0.9185,-1.0765
17.03,-2.2685,-1.0265
17.03,-0.2685,-0.7765
17.03,-0.1685,-0.9265
17.03,0.2315,-0.8265
17.03,-2.1685,-0.9765
17.03,-2.0685,-0.9265
17.03,-0.2185,0.5235
17.03,-0.8185,0.5735
19.01,-1.7685,-0.2265
19.01,-0.9185,-1.0765
19.01,-2.2685,-1.0265
19.01,-0.2685,-0.7765
19.01,-0.1685,-0.9265
19.01,0.2315,-0.8265
19.01,-2.1685,-0.9765
19.01,-2.0685,-0.9265
19.01,-0.2185,0.5235
19.01,-0.8185,0.5735
20.55,-1.7685,-0.2265
20.55,-0.9185,-1.0765
20.55,-2.2685,-1.0265
20.55,-0.2685,-0.7765
20.55,-0.1685,-0.9265
20.55,0.2315,-0.8265
20.55,-2.1685,-0.9765
20.55,-2.0685,-0.9265
20.55,-0.2185,0.5235
20.55,-0.8185,0.5735
22.49,-1.7685,-0.2265
22.49,-0.9185,-1.0765
22.49,-2.2685,-1.0265
22.49,-0.2685,-0.7765
22.49,-0.1685,-0.9265
22.49,0.2315,-0.8265
22.49,-2.1685,-0.9765
22.49,-2.0685,-0.9265
22.49,-0.2185,0.5235
22.49,-0.8185,0.5735
24.65,-1.7685,-0.2265
24.65,-0.9185,-1.0765
24.65,-2.2685,-1.0265
24.65,-0.2685,-0.7765
24.65,-0.1685,-0.9265
24.65,0.2315,-0.8265
24.65,-2.1685,-0.9765
24.65,-2.0685,-0.9265
24.65,-0.2185,0.5235
24.65,-0.8185,0.5735
26.70,-1.7685,-0.2265
26.70,-0.9185,-1.0765
26.70,-2.2685,-1.0265
26.70,-0.2685,-0.7765
26.70,-0.1685,-0.9265
26.70,0.2315,-0.8265
26.70,-2.1685,-0.9765
26.70,-2.0685,-0.9265
26.70,-0.2185,0.5235
26.70,-0.8185,0.5735
28.84,-1.7685,-0.2265
28.84,-0.9185,-1.0765
28.84,-2.2685,-1.0265
28.84,-0.2685,-0.7765
28.84,-0.1685,-0.9265
28.84,0.2315,-0.8265
28.84,-2.1685,-0.9765
28.84,-2.0685,-0.9265
28.84,-0.2185,0.5235
28.84,-0.8185,0.5735
30.61,-1.7685,-0.2265
30.61,-0.9185,-1.0765
30.61,-2.2685,-1.0265
30.61,-0.2685,-0.7765
30.61,-0.1685,-0.9265
30.61,0.2315,-0.8265
30.61,-2.1685,-0.9765
30.61,-2.0685,-0.9265
30.61,-0.2185,0.5235
30.61,-0.8185,0.5735
32.50,-1.7685,-0.2265
32.50,-0.9185,-1.0765
32.50,-2.2685,-1.0265
32.50,-0.2685,-0.7765
32.50,-0.1685,-0.9265
32.50,0.2315,-0.8265
32.50,-2.1685,-0.9765
32.50,-2.0685,-0.9265
32.50,-0.2185,0.5235
32.50,-0.8185,0.5735
34.60,-1.7685,-0.2265
34.60,-0.9185,-1.0765
34.60,-2.2685,-1.0265
34.60,-0.2685,-0.7765
34.60,-0.1685,-0.9265
34.60,0.2315,-0.8265
34.60,-2.1685,-0.9765
34.60,-2.0685,-0.9265
34.60,-0.2185,0.5235
34.60,-0.8185,0.5735
36.76,-1.7685,-0.2265
36.76,-0.9185,-1.0765
36.76,-2.2685,-1.0265
36.76,-0.2685,-0.7765
36.76,-0.1685,-0.9265
36.76,0.2315,-0.8265
36.76,-2.1685,-0.9765
36.76,-2.0685,-0.9265
36.76,-0.2185,0.5235
36.76,-0.8185,0.5735
38.72,-1.7685,-0.2265
38.72,-0.9185,-1.0765
38.72,-2.2685,-1.0265
38.72,-0.2685,-0.7765
38.72,-0.1685,-0.9265
38.72,0.2315,-0.8265
38.72,-2.1685,-0.9765
38.72,-2.0685,-0.9265
38.72,-0.2185,0.5235
38.72,-0.8185,0.5735
40.61,-1.7685,-0.2265
40.61,-0.9185,-1.0765
40.61,-2.2685,-1.0265
40.61,-0.2685,-0.7765
40.61,-0.1685,-0.9265
40.61,0.2315,-0.8265
40.61,-2.1685,-0.9765
40.61,-2.0685,-0.9265
40.61,-0.2185,0.5235
40.61,-0.8185,0.5735
42.69,-1.7685,-0.2265
42.69,-0.9185,-1.0765
42.69,-2.2685,-1.0265
42.69,-0.2685,-0.7765
42.69,-0.1685,-0.9265
42.69,0.2315,-0.8265
42.69,-2.1685,-0.9765
42.69,-2.0685,-0.9265
42.69,-0.2185,0.5235
42.69,-0.8185,0.5735
44.54,-1.7685,-0.2265
44.54,-0.9185,-1.0765
44.54,-2.2685,-1.0265
44.54,-0.2685,-0.7765
44.54,-0.1685,-0.9265
44.54,0.2315,-0.8265
44.54,-2.1685,-0.9765
44.54,-2.0685,-0.9265
44.54,-0.2185,0.5235
44.54,-0.8185,0.5735
46.79,-1.7685,-0.2265
46.79,-0.9185,-1.0765
46.79,-2.2685,-1.0265
46.79,-0.2685,-0.7765
46.79,-0.1685,-0.9265
46.79,0.2315,-0.8265
46.79,-2.1685,-0.9765
46.79,-2.0685,-0.9265
46.79,-0.2185,0.5235
46.79,-0.8185,0.5735
48.63,-1.7685,-0.2265
48.63,-0.9185,-1.0765
48.63,-2.2685,-1.0265
48.63,-0.2685,-0.7765
48.63,-0.1685,-0.9265
48.63,0.2315,-0.8265
48.63,-2.1685,-0.9765
48.63,-2.0685,-0.9265
48.63,-0.2185,0.5235
48.63,-0.8185,0.5735
50.56,-1.7685,-0.2265
50.56,-0.9185,-1.0765
50.56,-2.2685,-1.0265
50.56,-0.2685,-0.7765
50.56,-0.1685,-0.9265
50.56,0.2315,-0.8265
50.56,-2.1685,-0.9765
50.56,-2.0685,-0.9265
50.56,-0.2185,0.5235
50.56,-0.8185,0.5735
52.55,-1.7685,-0.2265
52.55,-0.9185,-1.0765
52.55,-2.2685,-1.0265
52.55,-0.2685,-0.7765
52.55,-0.1685,-0.9265
52.55,0.2315,-0.8265
52.55,-2.1685,-0.9765
52.55,-2.0685,-0.9265
52.55,-0.2185,0.5235
52.55,-0.8185,0.5735
54.62,-1.7685,-0.2265
54.62,-0.9185,-1.0765
54.62,-2.2685,-1.0265
54.62,-0.2685,-0.7765
54.62,-0.1685,-0.9265
54.62,0.2315,-0.8265
54.62,-2.1685,-0.9765
54.62,-2.0685,-0.9265
54.62,-0.2185,0.5235
54.62,-0.8185,0.5735
56.59,-1.7685,-0.2265
56.59,-0.9185,-1.0765
56.59,-2.2685,-1.0265
56.59,-0.2685,-0.7765
56.59,-0.1685,-0.9265
56.59,0.2315,-0.8265
56.59,-2.1685,-0.9765
56.59,-2.0685,-0.9265
56.59,-0.2185,0.5235
56.59,-0.8185,0.5735
58.68,-1.7685,-0.2265
58.68,-0.9185,-1.0765
58.68,-2.2685,-1.0265
58.68,-0.2685,-0.7765
58.68,-0.1685,-0.9265
58.68,0.2315,-0.8265
58.68,-2.1685,-0.9765
58.68,-2.0685,-0.9265
58.68,-0.2185,0.5235
58.68,-0.8185,0.5735
60.50,-1.7685,-0.2265
60.50,-0.9185,-1.0765
60.50,-2.2685,-1.0265
60.50,-0.2685,-0.7765
60.50,-0.1685,-0.9265
60.50,0.2315,-0.8265
60.50,-2.1685,-0.9765
60.50,-2.0685,-0.9265
60.50,-0.2185,0.5235
60.50,-0.8185,0.5735
62.78,-1.7685,-0.2265
62.78,-0.9185,-1.0765
62.78,-2.2685,-1.0265
62.78,-0.2685,-0.7765
62.78,-0.1685,-0.9265
62.78,0.2315,-0.8265
62.78,-2.1685,-0.9765
62.78,-2.0685,-0.9265
62.78,-0.2185,0.5235
62.78,-0.8185,0.5735
65.52,-0.2685,-0.9294
65.52,-0.1685,-0.9294
65.52,0.2815,-0.7294
65.52,-0.7685,0.5706
65.52,-0.3685,0.7206
66.62,-0.2685,-0.9383
66.62,-0.1685,-0.9383
66.62,0.2815,-0.7383
66.62,-0.7685,0.5617
66.62,-0.3685,0.7117
68.74,-0.2728,-0.9632
68.74,-0.7728,0.5368
68.74,-0.4228,0.5368
68.74,-0.3728,0.7368
70.69,-0.2782,-0.9632
70.69,-0.7782,0.5368
70.69,-0.4282,0.5368
70.69,-0.4282,0.7368
72.69,-0.2782,-0.9663
72.69,-0.7782,0.5337
72.69,-0.4282,0.5337
72.69,-0.4282,0.7337
74.68,-0.2782,-0.9663
74.68,-0.7782,0.5337
74.68,-0.4282,0.5337
74.68,-0.4282,0.7337
76.65,-0.2782,-0.9663
76.65,-0.7782,0.5337
76.65,-0.4282,0.5337
76.65,-0.4282,0.7337
79.13,-0.2321,-0.8695
79.13,-0.7821,0.5805
79.13,-0.4321,0.7305
80.45,-0.2321,-0.8695
80.45,-0.7821,0.5805
80.45,-0.4321,0.7305
83.18,-0.2321,-0.8695
83.18,0.3679,-0.8695
83.18,-0.7821,0.5805
83.18,-2.3821,0.7305
83.18,-0.4321,0.7305
85.02,-0.2321,-0.8695
85.02,0.3679,-0.8695
85.02,-0.7821,0.5805
85.02,-2.3821,0.7305
85.02,-0.4821,0.7305
86.96,-0.2321,-0.8797
86.96,0.3679,-0.8297
86.96,-0.7821,0.5703
86.96,-0.4821,0.7203
89.50,-2.5548,-0.5297
89.50,-0.8048,0.7203
89.50,-0.4548,0.7203
89.50,-1.7548,0.8203
89.50,-2.2548,1.0203
90.83,-2.5548,-0.5297
90.83,-0.8048,0.7203
90.83,-0.5048,0.6703
90.83,-1.7548,0.8203
90.83,-2.2548,1.0203
97.18,-2.5597,-0.4297
97.18,-2.6097,-0.1297
97.18,0.3903,0.2703
97.18,-1.2597,1.0203
97.18,-2.3597,1.0203
97.18,-2.1597,1.1203
97.18,-1.9597,1.1703
98.29,-2.1651,-1.3064
98.29,-1.8151,-1.2064
98.29,-1.4151,-1.2064
98.29,-1.0651,-1.1564
98.29,-0.9651,-1.1564
98.29,-0.8651,-1.1564
98.29,-0.7651,-1.1564
98.29,0.3849,-0.8564
98.29,-2.5151,-0.6564
98.29,-0.6651,0.8936
98.29,-2.3651,0.9936
98.29,-0.9151,1.0436
98.29,-1.9651,1.2436
98.29,-1.0651,1.0936
98.29,-1.2651,1.1436
98.29,-1.5651,1.2436
99.55,-0.7651,-1.1582
99.55,0.3849,-0.8582
99.55,-2.5151,-0.6582
99.55,0.3849,-0.6082
99.55,-0.6651,0.8918
99.55,-2.3651,0.9918
99.55,-0.9151,1.0418
99.55,-1.9651,1.2418
99.55,-1.0651,1.0918
99.55,-1.4151,1.1918
99.55,-1.5651,1.2418
101.91,0.3849,-0.8582
101.91,-2.5151,-0.6582
101.91,0.3849,-0.6082
101.91,-0.6651,0.8918
101.91,-2.3651,0.9918
101.91,-0.9151,1.0418
101.91,-1.9651,1.2418
101.91,-1.0651,1.0918
101.91,-1.4151,1.1918
101.91,-1.5651,1.2418
104.50,0.3849,-0.8584
104.50,-2.5151,-0.6584
104.50,-0.6651,0.8916
104.50,-2.3651,0.9916
104.50,-0.9151,1.0416
104.50,-1.9651,1.2416
104.50,-1.0651,1.0916
104.50,-1.4151,1.1916
104.50,-1.5651,1.2416
106.20,0.4349,-0.9084
106.20,-2.5151,-0.6584
106.20,-0.7151,0.8916
106.20,-2.3651,0.9916
106.20,-0.9151,1.0416
106.20,-1.9651,1.2416
106.20,-1.0651,1.0916
106.20,-1.4151,1.1916
106.20,-1.5651,1.2416
108.76,0.4349,-0.9084
108.76,-2.5151,-0.6584
108.76,-0.7151,0.8916
108.76,-2.3651,0.9916
108.76,-0.9151,1.0416
108.76,-1.9651,1.2416
108.76,-1.0651,1.0916
108.76,-1.4151,1.1916
108.76,-1.5651,1.2416
110.47,0.4349,-0.9084
110.47,-2.5151,-0.6584
110.47,-0.7151,0.8916
110.47,-2.3651,0.9916
110.47,-0.9151,1.0416
110.47,-1.9651,1.2416
110.47,-1.0651,1.0916
110.47,-1.4151,1.1916
110.47,-1.5651,1.2416
114.53,0.4349,-0.9157
114.53,-0.6651,0.8843
114.53,-0.3151,0.8343
114.53,-2.3651,0.9843
114.53,-1.9651,1.2343
114.53,-1.2151,1.1343
114.53,-1.4151,1.1843
114.53,-1.5151,1.2343
114.53,-1.6651,1.2843
116.67,0.4349,-0.9157
116.67,-0.6651,0.8843
116.67,-0.3151,0.8343
116.67,-2.3651,0.9843
116.67,-1.9651,1.2343
116.67,-1.2151,1.1343
116.67,-1.4151,1.1843
116.67,-1.5151,1.2343
116.67,-1.6651,1.2843
118.88,0.4349,-0.9157
118.88,-0.6651,0.8843
118.88,-0.3151,0.8343
118.88,-2.3651,0.9843
118.88,-1.9651,1.2343
118.88,-1.2151,1.1343
118.88,-1.4151,1.1843
118.88,-1.5151,1.2343
118.88,-1.6651,1.2843
121.16,0.4349,-0.9161
121.16,-0.6651,0.8839
121.16,-0.3151,0.8339
121.16,-2.3651,0.9839
121.16,-1.9651,1.2339
121.16,-1.2151,1.1339
121.16,-1.4151,1.1839
121.16,-1.5151,1.2339
121.16,-1.6651,1.2839
123.67,0.4349,-0.9161
123.67,-0.6651,0.8839
123.67,-2.3651,0.9839
123.67,-1.9651,1.2339
123.67,-1.2151,1.1339
