elapsed_s,x_m,y_m
7.59,0.0000,0.0000
52.44,0.2099,0.0326
53.84,0.0015,0.0455
59.93,-0.1916,-0.0126
60.64,-0.3869,0.1127
63.96,-0.2398,-0.0257
70.04,-0.4153,-0.1295
70.23,-0.6841,-0.0550
74.63,-0.3589,0.4610
75.34,-0.2830,0.7805
75.66,-0.4776,0.5245
77.23,-0.7081,0.3765
82.03,-0.5293,0.5902
83.34,-0.3124,0.7051
83.84,-0.0814,0.8331
85.33,-0.3070,0.8755
86.75,-0.0931,0.8165
88.23,-0.4916,0.9187
91.83,-0.1338,0.8203
91.94,0.0760,0.7642
94.13,-0.3014,0.8634
99.43,-0.0664,0.7990
102.74,-0.3553,0.8749
104.68,-0.0836,0.8061
105.01,-0.3209,0.8685
106.10,-0.0909,0.8085
112.56,-0.3792,0.8800
115.11,-0.0645,0.7926
115.73,-0.3006,0.8574
116.63,-0.0803,0.7985
116.74,-0.3413,0.8680
