elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
19.72,0.8015,0.9885,0.6126,0.7555
32.11,-0.8124,0.0014,-0.7624,0.0014
42.21,-0.8124,0.0014,-0.7624,0.0014
52.92,-0.8124,0.0014,-0.7624,0.0014
71.02,-0.8124,0.0014,-0.7624,0.0014
74.05,-0.8124,0.0014,-0.7624,0.0014
77.05,-0.8124,0.0014,-0.7624,0.0014
80.11,-0.8124,0.0014,-0.7624,0.0014
83.03,-0.8124,0.0014,-0.7624,0.0014
86.10,-0.8124,0.0014,-0.7624,0.0014
89.11,-0.8124,0.0014,-0.7624,0.0014
92.20,-0.8124,0.0014,-0.7624,0.0014
95.21,-0.8124,0.0014,-0.7624,0.0014
98.21,-0.8124,0.0014,-0.7624,0.0014
101.21,-0.8124,0.0014,-0.7624,0.0014
104.17,-0.6624,0.2514,-0.6624,0.2014
108.97,-0.9124,0.2014,-0.8624,0.2014
113.63,-0.6624,0.2514,-0.6624,0.2014
116.62,-0.6624,0.2514,-0.6624,0.2014
119.52,-0.6624,0.2514,-0.6624,0.2014
122.53,-0.6624,0.2514,-0.6624,0.2014
